lon	lat	depth	m_l	err_abs	err_avgrel	area
71.150	37.159	69.52	3.2	2.1	1.9	deepPamir
72.439	37.343	69.62	2.1	2.6	-	deepPamir
71.152	36.740	69.63	2.9	2.9	1.9	deepPamir
71.154	36.728	69.68	2.9	2.6	1.9	deepPamir
71.080	36.774	69.72	2.8	1.9	1.9	deepPamir
71.154	36.723	69.77	3.3	2.1	1.9	deepPamir
71.022	36.521	69.89	2.8	6.8	-	deepPamir
71.210	36.741	70.11	2.6	4.0	1.9	deepPamir
71.299	36.953	70.12	2.5	5.0	-	deepPamir
71.255	37.558	70.30	3.0	2.0	-	deepPamir
71.178	36.750	70.32	4.0	2.0	1.9	deepPamir
71.191	36.870	70.36	2.9	2.6	1.9	deepPamir
71.081	36.767	70.45	3.6	2.1	1.9	deepPamir
71.440	36.738	70.56	3.2	2.9	1.9	deepPamir
71.129	36.844	70.62	2.9	2.9	1.9	deepPamir
71.157	36.762	70.66	3.7	3.9	1.9	deepPamir
71.346	36.983	70.71	3.0	2.7	1.9	deepPamir
71.240	37.095	70.81	3.2	2.1	1.9	deepPamir
71.306	36.785	70.81	3.9	2.0	1.9	deepPamir
71.238	36.778	70.95	2.8	2.3	1.9	deepPamir
71.338	36.821	71.29	2.8	2.8	1.9	deepPamir
71.103	37.064	71.44	2.5	3.8	1.9	deepPamir
71.136	37.060	71.47	3.5	1.3	1.9	deepPamir
70.808	36.840	71.54	4.2	4.1	-	deepPamir
71.085	37.054	71.71	2.8	2.3	1.9	deepPamir
71.256	37.123	71.78	3.7	3.6	1.9	deepPamir
73.569	37.391	71.96	3.2	2.0	-	deepPamir
71.306	36.828	71.99	3.5	1.7	1.9	deepPamir
71.128	37.089	72.02	5.2	2.1	1.9	deepPamir
71.173	36.732	72.05	3.5	3.2	1.9	deepPamir
71.630	36.789	72.05	3.1	2.8	1.9	deepPamir
68.893	38.496	72.17	5.1	20.5	-	deepPamir
71.620	37.000	72.20	3.5	5.7	-	deepPamir
71.264	37.108	72.39	2.8	1.8	1.9	deepPamir
71.018	36.761	72.66	3.2	3.2	1.9	deepPamir
71.148	37.112	72.75	2.3	3.5	1.9	deepPamir
75.699	38.344	72.80	4.7	36.0	-	deepPamir
71.113	36.841	72.92	3.1	3.7	1.9	deepPamir
71.279	36.846	72.98	2.5	4.5	-	deepPamir
71.503	36.720	73.07	3.7	2.2	1.9	deepPamir
71.068	37.106	73.14	3.2	3.3	1.9	deepPamir
73.558	37.020	73.24	2.2	8.2	-	deepPamir
71.100	37.044	73.31	3.2	3.1	1.9	deepPamir
75.696	38.550	73.31	2.4	16.2	1.9	deepPamir
71.307	36.817	73.39	2.7	4.0	1.9	deepPamir
71.320	36.896	73.43	2.1	4.3	1.9	deepPamir
71.015	36.874	73.62	3.1	2.7	1.9	deepPamir
70.805	36.854	73.67	2.8	2.1	-	deepPamir
71.335	37.003	73.91	2.4	2.6	1.9	deepPamir
71.079	36.981	74.04	2.3	3.3	1.9	deepPamir
73.865	36.782	74.11	3.4	8.3	-	deepPamir
71.138	37.105	74.19	4.3	2.7	1.9	deepPamir
71.639	36.873	74.39	2.7	2.5	1.9	deepPamir
71.242	36.894	74.58	3.3	3.8	1.9	deepPamir
71.267	36.781	74.63	3.1	2.2	1.9	deepPamir
71.527	36.712	74.66	3.0	3.4	1.9	deepPamir
71.095	36.765	74.76	3.0	2.7	1.9	deepPamir
70.724	37.227	74.78	4.5	2.9	-	deepPamir
71.245	37.116	74.78	3.0	2.4	1.9	deepPamir
75.720	38.549	74.78	2.5	-	1.9	deepPamir
71.243	36.782	74.89	3.6	1.7	1.9	deepPamir
71.191	37.052	75.10	3.6	1.9	1.9	deepPamir
71.299	36.801	75.22	2.7	4.1	1.9	deepPamir
71.648	36.871	75.26	2.5	2.8	1.9	deepPamir
71.245	37.034	75.31	3.1	2.7	1.9	deepPamir
71.261	36.937	75.36	4.4	1.9	1.9	deepPamir
71.149	37.110	75.38	3.5	2.3	1.9	deepPamir
71.146	37.114	75.53	3.9	2.6	1.9	deepPamir
71.241	37.121	75.57	2.4	2.4	1.9	deepPamir
71.991	37.181	75.59	2.6	3.8	-	deepPamir
71.207	36.938	75.72	4.6	1.6	1.9	deepPamir
71.374	37.670	75.73	3.2	2.7	-	deepPamir
71.167	36.974	75.74	3.0	3.1	1.9	deepPamir
71.522	37.344	75.84	2.5	21.4	-	deepPamir
71.178	36.885	75.85	3.7	2.1	1.9	deepPamir
71.134	36.926	76.08	3.0	6.4	1.9	deepPamir
71.083	36.918	76.21	2.9	2.3	1.9	deepPamir
72.782	36.909	76.27	2.6	6.3	-	deepPamir
71.055	37.071	76.40	2.5	2.1	1.9	deepPamir
71.218	36.940	76.41	2.5	3.5	-	deepPamir
71.271	36.936	76.42	3.4	1.8	1.9	deepPamir
72.802	36.711	76.67	2.8	4.2	-	deepPamir
71.228	37.053	76.81	2.6	3.4	-	deepPamir
70.981	36.992	76.89	3.0	3.1	-	deepPamir
71.241	37.034	76.94	2.9	5.2	1.9	deepPamir
71.203	36.919	77.17	3.1	2.2	1.9	deepPamir
71.238	36.986	77.19	2.7	4.9	1.9	deepPamir
71.216	37.141	77.22	2.4	2.7	1.9	deepPamir
71.234	36.866	77.24	2.9	2.8	1.9	deepPamir
71.221	36.900	77.27	2.7	4.3	1.9	deepPamir
71.331	36.741	77.29	2.5	3.6	1.9	deepPamir
71.074	37.148	77.32	2.2	4.1	1.9	deepPamir
71.238	36.882	77.41	2.7	2.4	1.9	deepPamir
72.041	36.948	77.41	3.1	3.0	-	deepPamir
71.264	36.879	77.43	3.4	2.8	1.9	deepPamir
71.267	36.960	77.45	3.4	2.0	1.9	deepPamir
71.279	36.961	77.67	2.9	2.9	1.9	deepPamir
71.543	36.710	77.67	2.7	4.2	1.9	deepPamir
71.418	36.963	77.69	2.7	3.0	1.9	deepPamir
71.251	36.933	77.70	3.0	1.9	1.9	deepPamir
71.176	37.036	77.77	2.7	3.4	1.9	deepPamir
71.239	36.809	77.78	2.7	3.7	1.9	deepPamir
71.444	37.282	77.90	3.0	2.6	1.9	deepPamir
71.566	37.196	77.97	2.9	4.4	1.9	deepPamir
71.426	36.949	77.98	2.5	3.2	1.9	deepPamir
71.043	36.825	77.99	3.3	1.9	1.9	deepPamir
71.189	36.792	78.04	3.1	2.6	1.9	deepPamir
71.117	37.170	78.40	2.6	2.2	1.9	deepPamir
73.600	37.136	78.46	3.0	4.6	-	deepPamir
71.631	36.801	78.52	3.0	3.0	1.9	deepPamir
71.504	37.197	78.58	3.0	3.8	1.9	deepPamir
71.298	37.263	78.62	2.9	2.9	1.9	deepPamir
71.190	37.016	78.93	3.8	1.5	1.9	deepPamir
71.020	36.813	78.99	3.4	1.8	1.9	deepPamir
71.174	36.807	78.99	2.7	3.7	1.9	deepPamir
71.129	36.830	79.07	2.9	2.3	1.9	deepPamir
71.195	37.016	79.15	2.5	2.7	1.9	deepPamir
71.245	36.884	79.21	3.5	2.3	1.9	deepPamir
71.329	36.966	79.23	2.9	1.7	1.9	deepPamir
72.135	37.384	79.27	2.5	2.7	1.9	deepPamir
71.335	36.771	79.45	3.5	5.2	1.9	deepPamir
70.887	37.011	79.49	3.3	1.9	-	deepPamir
71.287	37.141	79.67	2.8	2.5	1.9	deepPamir
72.558	37.196	79.68	2.7	4.6	-	deepPamir
71.157	37.045	79.79	2.6	4.8	1.9	deepPamir
71.257	36.835	79.83	3.0	4.7	1.9	deepPamir
71.025	37.111	79.90	4.4	1.6	1.9	deepPamir
72.199	37.516	79.93	3.9	11.2	-	deepPamir
71.164	37.194	79.99	3.2	2.0	1.9	deepPamir
71.162	37.200	80.07	2.7	2.3	1.9	deepPamir
73.520	37.436	80.16	3.4	9.7	-	deepPamir
71.049	36.834	80.24	3.4	2.2	1.9	deepPamir
71.150	37.040	80.38	2.7	3.1	1.9	deepPamir
73.264	38.727	80.47	2.2	3.0	-	deepPamir
71.166	37.027	80.49	2.7	1.9	1.9	deepPamir
71.308	36.804	80.50	2.8	4.4	1.9	deepPamir
72.564	37.224	80.63	2.9	6.8	-	deepPamir
71.286	37.070	80.68	2.9	2.4	1.9	deepPamir
71.329	37.213	80.74	2.9	2.9	1.9	deepPamir
71.302	37.256	80.80	2.8	1.9	1.9	deepPamir
71.292	37.164	80.91	3.0	3.9	1.9	deepPamir
71.198	37.225	80.92	2.0	2.7	1.9	deepPamir
71.246	36.857	81.17	3.5	2.8	1.9	deepPamir
71.637	36.784	81.23	2.9	3.0	1.9	deepPamir
71.285	36.927	81.33	3.5	2.9	1.9	deepPamir
71.196	36.938	81.37	3.9	3.3	-	deepPamir
71.295	37.192	81.52	2.5	2.3	1.9	deepPamir
71.209	37.239	81.64	3.2	4.0	1.9	deepPamir
71.278	37.202	81.76	4.0	7.1	1.9	deepPamir
72.049	37.335	81.76	2.8	2.5	1.9	deepPamir
71.169	37.032	81.88	2.9	1.9	1.9	deepPamir
71.698	36.938	81.93	3.0	2.8	-	deepPamir
71.362	37.176	82.01	3.6	2.8	1.9	deepPamir
71.291	37.242	82.15	2.3	2.4	1.9	deepPamir
71.136	37.049	82.21	3.0	2.4	1.9	deepPamir
71.230	37.233	82.32	2.4	2.3	1.9	deepPamir
71.162	37.201	82.34	3.4	2.1	1.9	deepPamir
71.259	37.200	82.34	2.8	2.6	1.9	deepPamir
71.544	37.259	82.48	2.6	4.1	1.9	deepPamir
71.124	37.012	82.67	2.8	2.6	1.9	deepPamir
71.242	36.858	82.81	3.5	1.8	1.9	deepPamir
71.248	37.179	82.84	2.8	2.2	1.9	deepPamir
71.297	37.016	82.85	3.1	4.2	1.9	deepPamir
71.303	36.965	82.91	4.2	3.5	1.9	deepPamir
71.283	37.066	82.93	4.1	2.1	1.9	deepPamir
71.157	36.768	82.94	4.8	2.8	1.9	deepPamir
71.257	36.879	82.98	3.1	2.6	1.9	deepPamir
71.697	37.162	83.07	2.2	4.8	1.9	deepPamir
71.250	37.259	83.10	2.4	3.0	1.9	deepPamir
71.868	37.177	83.17	2.5	3.1	1.9	deepPamir
71.290	37.270	83.20	3.3	3.2	1.9	deepPamir
71.279	37.244	83.21	3.5	2.6	1.9	deepPamir
73.461	38.664	83.26	2.2	2.5	-	deepPamir
71.168	37.209	83.32	2.7	3.8	-	deepPamir
71.226	37.063	83.34	2.8	2.2	1.9	deepPamir
71.200	37.106	83.44	2.7	6.5	1.9	deepPamir
73.040	38.545	83.67	3.1	13.1	-	deepPamir
71.251	36.939	83.70	3.3	2.9	1.9	deepPamir
73.522	38.444	83.75	3.1	12.4	-	deepPamir
71.212	37.181	83.80	2.8	2.5	1.9	deepPamir
73.213	38.532	83.84	1.8	3.9	-	deepPamir
71.293	37.009	83.85	2.3	2.8	1.9	deepPamir
71.397	37.360	84.23	3.2	5.2	1.9	deepPamir
71.268	37.283	84.35	2.0	3.4	1.9	deepPamir
71.168	37.199	84.36	5.5	1.6	1.9	deepPamir
72.209	37.709	84.47	3.4	7.1	-	deepPamir
71.164	36.811	84.69	2.8	4.0	1.9	deepPamir
71.269	37.258	84.70	2.4	3.4	-	deepPamir
71.391	37.535	84.75	2.7	2.7	-	deepPamir
71.311	37.278	84.83	2.2	3.6	1.9	deepPamir
71.269	36.996	84.97	2.2	3.1	1.9	deepPamir
71.256	37.054	84.98	3.0	5.9	1.9	deepPamir
71.344	36.962	85.06	3.2	2.4	1.9	deepPamir
71.352	37.304	85.42	2.4	3.1	1.9	deepPamir
72.079	37.347	85.54	3.3	2.7	-	deepPamir
71.148	36.896	85.55	3.2	2.9	1.9	deepPamir
71.517	36.766	85.66	3.0	2.6	1.9	deepPamir
71.287	36.989	85.67	3.2	2.1	1.9	deepPamir
71.362	36.982	85.82	3.4	3.4	1.9	deepPamir
71.268	37.244	85.87	2.8	2.9	1.9	deepPamir
71.313	36.956	86.06	2.6	6.2	1.9	deepPamir
71.375	37.291	86.10	3.9	2.0	1.9	deepPamir
71.266	37.260	86.31	2.9	4.9	1.9	deepPamir
71.985	37.237	86.31	2.7	4.0	1.9	deepPamir
71.338	37.193	86.41	2.9	5.2	1.9	deepPamir
71.285	36.838	86.42	3.6	2.5	1.9	deepPamir
71.225	37.243	86.44	3.8	3.3	1.9	deepPamir
71.485	37.145	86.50	2.5	4.5	1.9	deepPamir
72.867	38.396	86.60	2.3	3.2	-	deepPamir
71.357	36.847	86.72	2.6	2.5	1.9	deepPamir
71.349	37.200	86.73	3.5	2.6	-	deepPamir
71.604	37.184	86.74	3.7	3.1	1.9	deepPamir
73.099	38.713	86.79	3.0	1.9	1.9	deepPamir
72.987	38.508	86.83	2.5	3.0	1.9	deepPamir
73.098	38.711	86.83	2.7	2.1	1.9	deepPamir
71.276	36.842	86.84	3.3	2.7	1.9	deepPamir
71.247	36.754	86.87	4.2	1.9	1.9	deepPamir
71.167	36.795	86.99	3.6	2.5	1.9	deepPamir
71.271	37.148	87.12	2.9	2.7	1.9	deepPamir
71.360	36.922	87.18	3.2	2.5	1.9	deepPamir
72.371	37.347	87.18	2.8	5.6	-	deepPamir
71.327	36.766	87.27	5.6	2.9	1.9	deepPamir
71.301	36.988	87.31	2.8	2.4	1.9	deepPamir
71.905	37.205	87.31	2.6	3.6	1.9	deepPamir
71.749	38.035	87.32	2.8	4.8	-	deepPamir
71.354	37.241	87.34	2.8	4.3	1.9	deepPamir
71.311	37.180	87.42	3.9	2.9	1.9	deepPamir
71.311	37.112	87.46	4.2	1.8	1.9	deepPamir
71.332	37.067	87.52	3.5	3.5	1.9	deepPamir
73.212	38.784	87.53	3.8	2.0	-	deepPamir
71.341	36.957	87.56	3.3	4.3	1.9	deepPamir
71.612	37.185	87.61	2.4	3.5	1.9	deepPamir
71.882	37.285	87.68	2.7	4.2	1.9	deepPamir
71.680	37.547	87.73	2.5	2.9	-	deepPamir
71.271	36.938	87.79	2.5	3.7	1.9	deepPamir
71.282	37.210	87.82	3.5	1.9	1.9	deepPamir
71.299	37.069	87.89	3.1	3.3	1.9	deepPamir
71.609	37.185	87.90	2.0	4.0	1.9	deepPamir
73.015	38.430	88.00	2.0	4.3	1.9	deepPamir
71.591	36.850	88.09	2.6	3.3	1.9	deepPamir
71.380	37.048	88.13	2.8	3.2	1.9	deepPamir
71.518	37.228	88.14	3.1	4.4	1.9	deepPamir
71.988	37.402	88.23	2.8	2.7	1.9	deepPamir
71.381	36.931	88.43	2.8	3.0	1.9	deepPamir
71.238	37.261	88.47	3.0	4.9	1.9	deepPamir
71.392	37.047	88.64	2.5	3.0	1.9	deepPamir
71.258	37.246	88.66	6.0	2.9	1.9	deepPamir
71.342	36.773	88.71	3.3	2.7	1.9	deepPamir
71.498	37.284	88.77	3.0	2.6	1.9	deepPamir
73.389	37.283	88.82	3.0	2.9	-	deepPamir
71.462	37.323	88.84	2.3	4.4	1.9	deepPamir
71.572	37.168	88.84	2.6	2.7	1.9	deepPamir
71.759	37.168	88.84	2.7	3.2	-	deepPamir
72.284	38.372	88.97	3.3	2.1	-	deepPamir
71.352	37.310	89.26	3.5	5.1	1.9	deepPamir
71.566	37.170	89.30	3.6	1.8	1.9	deepPamir
73.523	38.674	89.37	3.0	2.9	1.9	deepPamir
73.041	38.486	89.38	2.3	2.5	1.9	deepPamir
71.325	36.941	89.39	3.5	2.9	1.9	deepPamir
71.418	36.932	89.44	3.1	3.9	1.9	deepPamir
72.045	37.240	89.50	3.3	2.4	1.9	deepPamir
72.048	37.350	89.53	2.6	2.9	1.9	deepPamir
71.317	37.174	89.64	2.7	3.2	1.9	deepPamir
71.502	37.283	89.67	3.2	2.3	1.9	deepPamir
73.348	38.399	89.83	1.9	4.0	1.9	deepPamir
71.333	37.245	89.88	3.3	3.7	1.9	deepPamir
71.350	37.273	89.95	3.1	2.6	1.9	deepPamir
73.490	38.682	89.97	2.8	2.5	1.9	deepPamir
71.430	36.954	90.00	3.3	3.7	1.9	deepPamir
71.277	37.282	90.02	2.3	3.8	1.9	deepPamir
71.561	37.216	90.03	3.2	3.0	1.9	deepPamir
71.346	36.901	90.05	3.2	2.5	1.9	deepPamir
71.372	36.980	90.12	2.3	3.1	1.9	deepPamir
72.070	37.367	90.15	2.4	2.5	1.9	deepPamir
71.266	37.294	90.22	4.5	1.7	1.9	deepPamir
73.580	38.666	90.22	3.3	3.1	1.9	deepPamir
71.463	37.401	90.42	3.9	2.1	-	deepPamir
71.587	36.841	90.49	3.3	2.4	1.9	deepPamir
73.054	38.450	90.62	2.0	4.0	1.9	deepPamir
71.319	37.001	90.70	3.3	2.3	1.9	deepPamir
71.432	37.374	90.86	4.3	5.6	-	deepPamir
71.972	37.249	91.06	2.6	3.2	1.9	deepPamir
71.495	36.768	91.07	2.0	4.4	1.9	deepPamir
70.999	37.186	91.11	2.7	7.8	-	deepPamir
71.414	37.190	91.15	2.5	3.5	1.9	deepPamir
73.531	38.675	91.17	2.4	3.2	1.9	deepPamir
71.377	37.087	91.18	2.8	3.2	-	deepPamir
71.285	37.297	91.19	2.3	3.1	1.9	deepPamir
71.319	36.900	91.23	2.9	3.2	1.9	deepPamir
71.933	37.906	91.34	3.4	2.6	-	deepPamir
72.332	37.949	91.52	2.4	4.0	-	deepPamir
71.512	37.176	91.58	2.5	4.7	1.9	deepPamir
71.554	37.195	91.59	2.4	3.9	1.9	deepPamir
71.943	37.285	91.61	2.8	3.4	1.9	deepPamir
71.297	37.283	91.77	4.0	2.0	1.9	deepPamir
71.346	36.936	91.77	3.6	2.9	1.9	deepPamir
71.635	37.196	91.93	2.1	3.7	1.9	deepPamir
71.387	36.973	91.96	3.2	5.4	1.9	deepPamir
73.350	38.474	92.02	2.4	3.3	1.9	deepPamir
71.373	36.792	92.04	2.7	3.6	1.9	deepPamir
71.370	37.366	92.06	3.6	2.5	1.9	deepPamir
71.918	37.258	92.06	2.9	3.1	1.9	deepPamir
71.395	37.257	92.11	3.2	3.0	1.9	deepPamir
72.021	37.499	92.13	3.3	5.2	-	deepPamir
71.412	37.153	92.14	2.6	3.3	1.9	deepPamir
71.642	37.161	92.14	2.8	2.9	1.9	deepPamir
71.269	37.040	92.18	3.4	2.6	1.9	deepPamir
71.350	37.251	92.21	3.8	2.2	1.9	deepPamir
71.352	36.949	92.44	2.8	2.8	1.9	deepPamir
71.356	37.330	92.53	3.1	2.7	1.9	deepPamir
71.419	37.277	92.53	3.4	5.9	1.9	deepPamir
71.919	37.301	92.69	2.4	3.7	1.9	deepPamir
73.437	38.495	92.77	2.2	3.2	1.9	deepPamir
74.297	38.156	92.80	4.8	37.1	-	deepPamir
71.580	37.190	92.83	2.9	3.2	1.9	deepPamir
73.115	38.546	92.83	2.6	4.0	1.9	deepPamir
73.327	38.383	92.88	2.7	2.1	1.9	deepPamir
73.183	38.588	92.91	2.4	2.4	-	deepPamir
71.628	36.817	92.98	3.0	4.8	1.9	deepPamir
71.406	36.979	93.03	3.2	2.3	1.9	deepPamir
71.907	37.295	93.06	2.8	2.7	1.9	deepPamir
71.311	37.022	93.12	4.2	3.0	1.9	deepPamir
71.605	37.163	93.14	3.2	4.8	1.9	deepPamir
73.001	38.373	93.16	2.5	2.7	1.9	deepPamir
71.901	37.282	93.17	4.4	2.6	1.9	deepPamir
71.390	37.179	93.18	4.1	2.1	1.9	deepPamir
71.276	36.855	93.20	3.8	3.1	1.9	deepPamir
71.307	37.140	93.26	4.3	1.7	1.9	deepPamir
73.459	38.414	93.30	2.7	3.3	1.9	deepPamir
71.349	37.111	93.31	3.3	3.5	1.9	deepPamir
73.212	38.505	93.34	3.5	1.5	1.9	deepPamir
72.018	37.841	93.37	3.1	4.9	1.9	deepPamir
71.404	37.283	93.42	4.0	2.1	1.9	deepPamir
71.256	37.026	93.67	2.4	4.8	1.9	deepPamir
71.476	37.002	93.70	2.1	3.8	1.9	deepPamir
71.293	36.861	93.72	3.4	2.6	1.9	deepPamir
72.669	38.179	93.73	2.4	4.3	-	deepPamir
71.581	37.140	93.77	2.5	4.4	1.9	deepPamir
73.076	38.620	93.78	4.5	1.6	1.9	deepPamir
71.372	37.158	93.83	4.6	1.8	1.9	deepPamir
73.448	38.700	93.83	3.8	1.5	1.9	deepPamir
71.307	36.924	93.90	3.3	4.4	1.9	deepPamir
71.505	37.264	93.90	3.5	3.0	1.9	deepPamir
71.271	36.949	93.95	3.7	2.0	1.9	deepPamir
71.499	37.184	93.95	2.5	5.3	1.9	deepPamir
71.906	37.262	94.08	2.3	3.7	1.9	deepPamir
71.842	37.137	94.09	3.7	3.7	-	deepPamir
71.335	37.284	94.15	3.3	2.1	1.9	deepPamir
71.466	37.002	94.15	2.9	7.2	1.9	deepPamir
71.660	37.366	94.24	2.8	2.7	1.9	deepPamir
